ID,Categoria,Fonte,Tipo,Instituição,Tema,Regra ou conhecimento extraído,Skill alimentada,Aplicação prática,Confiabilidade,Atualização necessária,Observações
MM-011,Cadastro de peritos,Resolução OE TJCE 07/2024,Resolução local,TJCE,"Credenciamento, nomeação e pagamento local","O credenciamento é eletrônico, exige documentação e orienta nomeação/pagamento dentro do tribunal.",pericia-01-triagem-processual; pericia-03-proposta-honorarios; pericia-10-peticoes,"Montar checklist de credenciamento, certidões, capacidade técnica e hipóteses excepcionais.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte local prioritária.
MM-012,Cadastro de peritos,Resolução TJCE 14/2022,Resolução local,TJCE,SIPER,Institui o SIPER como sistema operacional para peritos e magistrados no Judiciário cearense.,pericia-01-triagem-processual; pericia-10-peticoes; pericia-11-controle-prazos,"Conferir cadastro, atualizações, opções de atuação e fluxo operacional no sistema.",Alta,Sim - verificar vigência/edição antes de uso externo,Verificar manuais e mudanças do sistema.
MM-013,Cadastro de peritos,Manual do Perito no PJe do TJCE e páginas de certidões/documentação,Manual operacional,TJCE,"Acesso a autos, perfis, protocolos e documentos","Após credenciamento, o perito precisa de perfis operacionais adequados no PJe e documentação atualizada.",pericia-01-triagem-processual; pericia-10-peticoes; pericia-11-controle-prazos,"Testar acesso, perfis, protocolo e pagamentos; controlar certidões vencíveis.",Alta,Sim - verificar vigência/edição antes de uso externo,Manual não substitui norma processual.
MM-014,ART e CREA,Lei 6.496/1977,Lei profissional,Presidência da República,ART e responsabilidade técnica,Todo serviço técnico de engenharia deve ter ART; a ART define o responsável técnico para efeitos legais.,pericia-01-triagem-processual; pericia-03-proposta-honorarios; pericia-08-laudo-mecanico; pericia-10-peticoes,"Prever ART no aceite, proposta, laudo e fechamento documental.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória profissional.
MM-015,ART e CREA,Resolução Confea 1.137/2023 e Decisão Normativa 120/2023,Resolução/decisão normativa,Confea,"ART, acervo e tabela de obras e serviços","A classificação da ART deve refletir atividade real, forma de participação, escopo e enquadramento técnico; a Resolução 1.025/2009 está revogada.",pericia-01-triagem-processual; pericia-03-proposta-honorarios; pericia-08-laudo-mecanico; pericia-12-biblioteca-normas,"Selecionar TOS, tipo de ART, coautoria/equipe e anexar comprovantes quando cabível.",Alta,Sim - verificar alterações do Confea e orientação do CREA competente,Fonte obrigatória para rotina atual de ART.
MM-016,ART e CREA,"Manuais e páginas oficiais de CREA sobre ART, TOS, regularização, baixa e CAT",Manual operacional oficial,CREAs,Operação administrativa da ART,"A ART precisa ser emitida, quitada, compatível com atribuições e passível de baixa/regularização quando aplicável.",pericia-03-proposta-honorarios; pericia-10-peticoes; pericia-11-controle-prazos; pericia-12-biblioteca-normas,"Criar checklists de emissão, quitação, comprovante, baixa e eventual regularização.",Alta,Sim - varia por CREA e sistema,"Orientação operacional, não lei geral."
MM-017,ART e CREA,Resolução Confea 345/1990,Resolução profissional,Confea,Atividades periciais e regularidade profissional,"Vistorias, perícias, avaliações e arbitramentos são atribuição de profissionais legalmente habilitados e vinculam responsabilidade técnica.",pericia-01-triagem-processual; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,"Checar se laudo anterior, vistoria ou avaliação tem profissional habilitado, registro e ART quando cabível.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte conceitual central.
MM-018,Atribuições profissionais,Lei 5.194/1966,Lei profissional,Presidência da República,Exercício profissional e valor jurídico de laudos,"Laudos e trabalhos técnicos devem indicar profissional habilitado, título e registro, sob pena de fragilidade formal.",pericia-01-triagem-processual; pericia-02-analise-documental; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,"Validar autoria, título, CREA, assinatura e compatibilidade profissional.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-019,Atribuições profissionais,Resolução Confea 218/1973,Resolução profissional,Confea,Campo do engenheiro mecânico,"O engenheiro mecânico atua em processos mecânicos, máquinas, instalações mecânicas, sistemas térmicos, refrigeração, HVAC e correlatos.",pericia-01-triagem-processual; pericia-02-analise-documental; pericia-08-laudo-mecanico,Bloquear ou ressalvar perícias fora do núcleo mecânico; sugerir equipe multidisciplinar.,Alta,Sim - confirmar com atribuições individuais no CREA,Não basta o título; consultar registro real.
MM-020,Atribuições profissionais,Resolução Confea 1.073/2016,Resolução profissional,Confea,"Títulos, competências e extensão de atribuições",Experiência prática não amplia automaticamente atribuição formal; extensão depende de análise e registro.,pericia-01-triagem-processual; pericia-09-revisao-impugnacao; pericia-12-biblioteca-normas,Checar extensão formal antes de aceitar objeto interdisciplinar.,Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória profissional.
MM-021,Atribuições profissionais,Manuais CREA-CE/CEEMM e materiais operacionais de atribuições mecânicas,Manual operacional,CREA-CE e outros CREAs,Aplicação prática de atribuições mecânicas,"Materiais locais ajudam a interpretar manutenção, inspeção, vistoria, equipamentos, caldeiras, vasos, elevadores e sistemas mecânicos.",pericia-01-triagem-processual; pericia-05-roteiro-diligencia; pericia-12-biblioteca-normas,Usar como apoio operacional para casos cearenses e consulta à câmara especializada quando houver dúvida.,Alta,Sim - verificar versão e CREA competente,Fonte consultiva operacional.
MM-022,Perícia de engenharia,Resolução Confea 345/1990,Resolução profissional,Confea,"Conceitos de vistoria, perícia, avaliação e arbitramento",Vistoria constata; perícia apura causas; avaliação quantifica valor; arbitramento decide tecnicamente entre alternativas controvertidas.,pericia-04-matriz-quesitos; pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,"Classificar a natureza do trabalho antes de definir metodologia, ART e estrutura do laudo.",Alta,Sim - verificar vigência/edição antes de uso externo,Evita confusão terminológica.
MM-023,Perícia de engenharia,Norma Básica para Perícias de Engenharia do IBAPE/SP,Norma institucional consultiva,IBAPE/SP,Metodologia pericial e apresentação,"Orienta objetividade, não prejulgamento, respostas a quesitos e estrutura lógica do trabalho pericial.",pericia-02-analise-documental; pericia-04-matriz-quesitos; pericia-08-laudo-mecanico,"Apoiar método, redação e controle de omissões, sem substituir CPC.",Alta,"Sim - verificar edição/status, inclusive versões históricas",Fonte consultiva institucional.
MM-024,Perícia de engenharia,ABNT NBR 13752,Norma técnica paga,ABNT,Metodologia de perícias de engenharia,"Serve como backbone de método, escopo, vistoria e apresentação, mas com aplicação por analogia à mecânica.",pericia-02-analise-documental; pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico; pericia-12-biblioteca-normas,"Criar ficha-resumo e checklist derivado, sem reproduzir a norma integral.",Alta,Sim - confirmar edição no ABNT Catálogo,Norma paga; não copiar integralmente.
MM-025,Perícia de engenharia,Cartilha Perícias Judiciais de Engenharia e Arquitetura,Cartilha institucional,IBAPE/SP,"Fluxo pericial, laudo, fotos e esclarecimentos","Ajuda a organizar pontos controvertidos, diligências, relatório fotográfico, respostas e esclarecimentos.",pericia-02-analise-documental; pericia-05-roteiro-diligencia; pericia-07-anexo-fotografico; pericia-08-laudo-mecanico,Usar como guia de boa prática e comunicação técnica.,Alta,Sim - citar edição,Não é lei.
MM-026,Laudo pericial,"Código de Processo Civil, art. 473",Lei processual,Presidência da República,Conteúdo mínimo do laudo,"O laudo deve conter objeto, análise técnica/científica, método utilizado e resposta conclusiva a todos os quesitos, em linguagem simples e coerente.",pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,Validar estrutura mínima antes de protocolar ou revisar o laudo.,Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória e central.
MM-027,Laudo pericial,Estrutura padrão do laudo pericial mecânico judicial pesquisada,Modelo técnico autoral,Base interna pericia-mecanica-os,Arquitetura do laudo mecânico,"Identificação, preliminares, documentos, metodologia, análise, quesitos, conclusão, limitações e anexos devem ser separados.",pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,Gerar template de laudo e checklist anti-impugnação.,Alta,Sim - revisar quando mudarem fontes-base,"Modelo derivado, não fonte normativa."
MM-028,Laudo pericial,CNJ - Linguagem Simples e Manual de Padronização de Atos,Guia institucional,CNJ,Clareza e inteligibilidade,"A redação deve ser simples, direta, coesa e compreensível sem perder precisão técnica.",pericia-02-analise-documental; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao; pericia-10-peticoes,"Reduzir ambiguidade, jargão excessivo e respostas obscuras.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte consultiva alinhada ao CPC art. 473.
MM-029,Laudo pericial,Manual de Redação da Presidência da República,Manual de redação oficial,Presidência da República,"Impessoalidade, clareza e concisão","A peça técnica deve evitar prolixidade, subjetividade e tom argumentativo excessivo.",pericia-08-laudo-mecanico; pericia-10-peticoes,"Padronizar estilo de laudos, manifestações e petições do perito.",Alta,Sim - verificar edição vigente,Não é fonte técnica de engenharia.
MM-030,Quesitos,"Código de Processo Civil, arts. 465, 469, 470, 473 e 477",Lei processual,Presidência da República,"Formulação, suplementação e resposta a quesitos",Todos os quesitos deferidos devem ser controlados e respondidos; suplementares podem surgir durante diligência; omissão gera risco de esclarecimentos.,pericia-04-matriz-quesitos; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,"Criar matriz com origem, tema, método, evidência e status de resposta.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-031,Quesitos,IBAPE/SP - Cartilha e Norma Básica,Fonte institucional consultiva,IBAPE/SP,Resposta objetiva e fundamentada,"Respostas devem ser claras, objetivas, fundamentadas e limitadas ao campo técnico.",pericia-04-matriz-quesitos; pericia-08-laudo-mecanico,"Evitar respostas monossilábicas, evasivas ou jurídicas.",Alta,Sim - citar edição/status,"Boa prática, não obrigação autônoma."
MM-032,Quesitos,Matriz interna de quesitos pericia-mecanica-os,Modelo operacional,Base interna pericia-mecanica-os,Rastreabilidade pergunta-método-evidência,"Cada quesito deve ter fonte, evidência, método, limitação e status de resposta.",pericia-04-matriz-quesitos; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,Automatizar controle de completude antes do protocolo.,Alta,Sim - atualizar com quesitos suplementares,Modelo derivado das fontes.
MM-033,Diligência,"Código de Processo Civil, arts. 466, 474 e 473, §3º",Lei processual,Presidência da República,Meios necessários e ciência das partes,"O perito pode ouvir pessoas, solicitar documentos e instruir laudo com fotografias e outros elementos, preservando ciência das partes.",pericia-05-roteiro-diligencia; pericia-06-inventario-evidencias; pericia-07-anexo-fotografico,"Planejar comunicação, ata, documentos, evidências e anexos.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-034,Diligência,"Base de boas práticas para diligência, evidências e registro fotográfico",Base técnica interna,Base interna pericia-mecanica-os,Procedimento-base de vistoria mecânica,"Planejar saída, comunicar partes, registrar presentes, fotografar local/equipamento/danos, medir com instrumento identificado e encerrar com limitações.",pericia-05-roteiro-diligencia; pericia-06-inventario-evidencias; pericia-07-anexo-fotografico,"Gerar checklist de campo, ata de vistoria e plano fotográfico.",Alta,Sim - revisar com novas fontes e experiência prática,Modelo operacional derivado.
MM-035,Diligência,NR-12,Norma regulamentadora,Ministério do Trabalho e Emprego,Riscos e segurança em máquinas,"Diligência em máquina deve considerar proteções, operação, manutenção, inspeção, energia, riscos e estado de segurança na data do fato.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico,"Preparar EPI, roteiro de segurança e perguntas sobre adequação/manutenção.",Alta,Sim - verificar portarias e texto oficial,Obrigatória em segurança de máquinas.
MM-036,Diligência,ABNT NBR ISO 12100,Norma técnica paga,ABNT,Apreciação e redução de riscos,"A diligência deve identificar limites da máquina, perigos, uso previsto, mau uso previsível e risco residual.",pericia-05-roteiro-diligencia; 14_segurança de máquinas; pericia-12-biblioteca-normas,"Criar checklist de limites, perigos, medidas de proteção e riscos residuais.",Alta,Sim - confirmar edição no catálogo,Não copiar integralmente; subsidiária à NR-12.
MM-037,Evidências,"Código de Processo Civil, art. 473, §3º",Lei processual,Presidência da República,Elementos materiais de fundamentação,"O perito pode valer-se de todos os meios materiais necessários, incluindo fotografias, desenhos, planilhas e outros elementos.",pericia-06-inventario-evidencias; pericia-07-anexo-fotografico; pericia-08-laudo-mecanico,"Vincular cada evidência a quesito, método e seção do laudo.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-038,Evidências,ABNT NBR ISO/IEC 27037:2013,Norma técnica paga,ABNT,Evidência digital,"Fotos, vídeos, planilhas, logs e PDFs nativos devem ser tratados como evidência digital quando integridade e temporalidade importarem.",pericia-02-analise-documental; pericia-06-inventario-evidencias; pericia-07-anexo-fotografico,"Manter original, registrar metadados, hash quando útil e cópia de trabalho.",Alta,Sim - confirmar edição/licença,Não copiar integralmente.
MM-039,Evidências,"CPP, arts. 158-A e seguintes",Lei penal - uso analógico,Presidência da República,Cadeia de custódia,"A lógica de procedência, documentação e preservação de vestígios pode ser usada por analogia metodológica em perícia cível/mecânica.",pericia-06-inventario-evidencias; pericia-09-revisao-impugnacao,"Registrar origem, transferência, preservação e indisponibilidade de evidências sensíveis.",Alta,Sim - verificar texto legal vigente,Não converter automaticamente regra penal em obrigação cível.
MM-040,Evidências,POPs nacionais de perícia criminal e POP de Informática Forense/MJSP,Manual técnico oficial,Ministério da Justiça e Segurança Pública,Integridade e anexos eletrônicos,"Registro de datas, horários, origem, hash e anexos eletrônicos aumenta rastreabilidade.",pericia-02-analise-documental; pericia-06-inventario-evidencias,"Criar procedimento para arquivos digitais, logs, mídias e anexos relevantes.",Alta,Sim - verificar versão oficial,Boa prática por analogia.
MM-041,Fotografia técnica,IBAPE/SP - Cartilha Perícias Judiciais de Engenharia e Arquitetura,Cartilha institucional,IBAPE/SP,Relatório fotográfico,"Fotografias devem ter legenda, numeração, contexto e pertinência técnica.",pericia-07-anexo-fotografico; pericia-08-laudo-mecanico,Gerar anexo fotográfico em sequência lógica com vínculos aos quesitos.,Alta,Sim - citar edição,Fonte consultiva forte.
MM-042,Fotografia técnica,Guias de evidência visual e boas práticas de documentação fotográfica,Guia consultivo,Fontes técnicas abertas,Contexto visual e metadados,"Cada imagem deve permitir identificar quem, o quê, onde, quando e por que foi registrada.",pericia-05-roteiro-diligencia; pericia-07-anexo-fotografico,"Exigir local, data, autoria, finalidade e limitação em cada legenda.",Média/Alta,Sim - verificar fonte e versão,Fonte secundária; não substitui CPC/IBAPE.
MM-043,Fotografia técnica,Critérios internos de foto válida x fraca,Modelo operacional,Base interna pericia-mecanica-os,Qualidade da imagem,"Foto válida precisa de identificação, sequência, nitidez, escala quando necessária, iluminação, rastreabilidade, pertinência e integridade.",pericia-07-anexo-fotografico; pericia-09-revisao-impugnacao,"Classificar imagens como válidas, válidas com ressalva, fracas ou inconclusivas.",Alta,Sim - revisar com uso prático,Critério derivado das fontes.
MM-044,Fotografia técnica,ABNT NBR ISO/IEC 27037:2013,Norma técnica paga,ABNT,Preservação de foto e vídeo digital,Original não deve ser editado; cópias de trabalho devem ser identificadas e rastreadas.,pericia-06-inventario-evidencias; pericia-07-anexo-fotografico,"Separar pasta de originais, derivados e anexos finais.",Alta,Sim - confirmar edição/licença,Não reproduzir norma.
MM-045,Análise documental,"Código de Processo Civil, arts. 319, 320, 336, 369 e 434",Lei processual,Presidência da República,"Inicial, contestação e prova documental",Alegações devem ser lidas junto aos documentos que as instruem; documento não equivale automaticamente a fato técnico comprovado.,pericia-02-analise-documental,"Gerar matriz de alegações, documentos, contradições e suficiência.",Alta,Sim - verificar vigência/edição antes de uso externo,Fonte obrigatória.
MM-046,Análise documental,Base normativa e metodológica da skill analise-documental-processual,Base interna,Base interna pericia-mecanica-os,Classificação documental,"Documentos devem ser classificados por classe, força, integridade, vínculo com ativo, contemporaneidade e relação com quesitos.",pericia-02-analise-documental; pericia-06-inventario-evidencias,"Gerar relatório preliminar, matriz documental e lista de lacunas.",Alta,Sim - revisar com novos casos,Modelo operacional derivado.
MM-047,Análise documental,IBAPE/SP - Norma de Perícias Grafoscópicas e Digitais,Norma institucional consultiva,IBAPE/SP,"Documentos questionados, scans e baixa qualidade","Digitalização, perda de nitidez, recortes e alterações limitam conclusões sobre autenticidade e integridade.",pericia-02-analise-documental; pericia-06-inventario-evidencias,"Recomendar original ou arquivo nativo quando autenticidade, cronologia ou integridade importarem.",Alta,Sim - verificar edição/status,Aplicação por analogia; não substitui perícia grafotécnica.
MM-048,Análise documental,"Inmetro/Cgcre - RBC, NIT-DICLA e DOQs",Documento técnico institucional,Inmetro/Cgcre,Certificados e laudos laboratoriais,"Relatórios de ensaio e calibração devem ser avaliados por laboratório, escopo, rastreabilidade, data e pertinência da grandeza.",pericia-02-analise-documental; pericia-06-inventario-evidencias; 15_metrologia,Checar certificado antes de usar medição como base de conclusão.,Alta,Sim - verificar documentos Cgcre e laboratório na RBC,"Filtro técnico, não conclusão isolada."
MM-049,Análise de falhas mecânicas,ASM Handbook Vol. 11 - Failure Analysis and Prevention,Handbook técnico comercial,ASM International,"Falha, fratura, fadiga, desgaste e corrosão","Análise de falhas deve ser sistemática, baseada em evidências, histórico, inspeção, materiais e mecanismos compatíveis.",pericia-04-matriz-quesitos; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,"Apoiar nexo causal em peças, eixos, engrenagens, rolamentos e componentes metálicos.",Alta,Sim - verificar edição/licença,"Livro comercial; guardar ficha e notas, não copiar integralmente."
MM-050,Análise de falhas mecânicas,Machinery Failure Analysis and Troubleshooting - Heinz Bloch,Livro técnico comercial,Elsevier,Máquinas de processo e troubleshooting,"Falhas em bombas, compressores e máquinas rotativas exigem leitura de operação, instalação, lubrificação, alinhamento e manutenção.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico,Gerar perguntas de diligência e hipóteses técnicas de falha.,Alta,Sim - verificar edição/licença,Referência consultiva técnica.
MM-051,Análise de falhas mecânicas,Root Cause Failure Analysis - R. Keith Mobley,Livro técnico comercial,Elsevier,RCFA,"A análise de causa raiz deve diferenciar sintoma, modo de falha, causa imediata, causa raiz e prevenção de recorrência.",pericia-04-matriz-quesitos; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,Estruturar matriz de causalidade e evitar conclusões simplistas.,Alta,Sim - verificar edição/licença,Não transforma RCFA em obrigação legal.
MM-052,Análise de falhas mecânicas,SKF Bearing Damage and Failure Analysis,Guia técnico de fabricante,SKF,Rolamentos,"Padrões de dano em rolamentos devem ser confrontados com lubrificação, contaminação, desalinhamento, carga, montagem e fadiga.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico,"Apoiar análise de rolamentos, motores, bombas, redutores e eixos.",Alta,Sim - verificar versão oficial,"Fonte de fabricante; usar tecnicamente, não como norma universal."
MM-053,Análise de falhas mecânicas,Shigley's Mechanical Engineering Design,Livro técnico comercial,McGraw Hill,"Projeto mecânico, fadiga e elementos de máquinas","A plausibilidade de falha deve considerar projeto, carga, tensão, fadiga, materiais, fatores geométricos e uso real.",pericia-04-matriz-quesitos; pericia-08-laudo-mecanico,"Apoiar cálculo, plausibilidade e contestação de hipóteses incompatíveis.",Alta,Sim - verificar edição/licença,Referência técnica consultiva.
MM-054,Segurança de máquinas,NR-12,Norma regulamentadora,Ministério do Trabalho e Emprego,Segurança em máquinas e equipamentos,"Aplica-se a projeto, fabricação, importação, comercialização, exposição, cessão e utilização, incluindo operação, limpeza, manutenção, inspeção e desativação.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao; pericia-12-biblioteca-normas,"Checar data, estado de proteção, adequação, uso previsível e medidas de segurança.",Alta,Sim - verificar portaria e texto oficial,Obrigatória quando aplicável.
MM-055,Segurança de máquinas,Manual de Aplicação da NR-12,Manual oficial consultivo,MTE/Gov.br,Interpretação operacional da NR-12,"O manual traduz requisitos em funções de segurança, sistemas de comando, apreciação de riscos e normas ABNT/ISO correlatas.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico; pericia-09-revisao-impugnacao,Transformar requisitos em checklist de diligência e revisão.,Alta,Sim - verificar versão oficial,Manual não substitui NR-12.
MM-056,Segurança de máquinas,ABNT NBR ISO 12100,Norma técnica paga,ABNT,Apreciação e redução de riscos,"Identificar limites da máquina, perigos, estimação e redução de riscos, e risco residual.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico,Criar roteiro de avaliação de risco e limites da máquina.,Alta,Sim - confirmar edição/licença,Referência subsidiária; não copiar.
MM-057,Segurança de máquinas,ABNT NBR ISO 13849-1/2 e ABNT NBR 14153,Normas técnicas pagas,ABNT,Sistemas de comando relacionados à segurança,"Funções de segurança exigem categoria, performance level, validação, cobertura diagnóstica e análise de falhas.",pericia-05-roteiro-diligencia; pericia-09-revisao-impugnacao,"Checar CLP de segurança, relés, intertravamentos, redundância e validação documental.",Alta,Sim - confirmar edições/licença,Normas pagas; usar fichas e checklists derivados.
MM-058,Segurança de máquinas,"ABNT NBR ISO 13850, 13855, 13857, 14118, 14119 e 14120",Normas técnicas pagas,ABNT,"Parada de emergência, distâncias, partida inesperada, intertravamentos e proteções","Proteções e dispositivos de segurança precisam ser avaliados por distância, tempo, acesso, prevenção de burla, partida inesperada e robustez.",pericia-05-roteiro-diligencia; pericia-06-inventario-evidencias; pericia-09-revisao-impugnacao,"Gerar checklist de fotos e medições de proteções, aberturas, sensores e emergências.",Alta,Sim - confirmar edições/licença,Normas pagas.
MM-059,Segurança de máquinas,ABNT NBR ISO 4413 e 4414,Normas técnicas pagas,ABNT,Sistemas hidráulicos e pneumáticos,"Sistemas de fluido de potência devem ser avaliados quanto a energia acumulada, válvulas, travamentos, contaminação, segurança e partida inesperada.",pericia-05-roteiro-diligencia; pericia-08-laudo-mecanico,"Roteirizar diligências em prensas, cilindros, atuadores, compressores e linhas pneumáticas.",Alta,Sim - confirmar edições/licença,Normas pagas.
MM-060,Metrologia,ABNT NBR ISO/IEC 17025,Norma técnica paga,ABNT,Competência de laboratórios,"Ensaios e calibrações usados no laudo devem ser avaliados por competência, imparcialidade, escopo e rastreabilidade do laboratório.",pericia-02-analise-documental; pericia-06-inventario-evidencias; pericia-08-laudo-mecanico,"Auditar certificado de calibração, relatório de ensaio e laboratório.",Alta,Sim - confirmar edição/licença,Não reproduzir integralmente.
MM-061,Metrologia,GUM - Guia para Expressão da Incerteza de Medição,Guia técnico,Inmetro/BIPM/JCGM,Incerteza de medição,"Resultado de medição crítico deve indicar unidade, método, instrumento, incerteza e condições relevantes.",pericia-05-roteiro-diligencia; pericia-06-inventario-evidencias; pericia-08-laudo-mecanico,Padronizar campos de medição e evitar conclusão sem incerteza quando ela impactar o caso.,Alta,Sim - verificar versão adotada,Fonte técnica institucional.
